Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,Air Pressure,Ozone,NO2,House,Calibration
11/02/2019 23:00,16.2,77.81,64.72,49.58,673.27,1024,7.87,12.58,1,0
12/02/2019 00:00,16.2,76.91,63.55,98.04,593.76,1023.78,7.99,8.84,1,0
12/02/2019 01:00,15.6,78.17,52.8,127.25,897.89,1023.72,8.13,11,1,0
12/02/2019 02:00,15.3,78.5,36.02,125.13,792.9,1023.46,8.31,13.81,1,0
12/02/2019 03:00,15.1,78.97,41.77,116.04,714.46,1023.22,8.36,14.6,1,0
12/02/2019 04:00,15,79.3,38.31,116.23,727.03,1022.73,8.48,16.36,1,0
12/02/2019 05:00,15,79.06,40.72,128.74,792.55,1022.69,8.45,16.02,1,0
12/02/2019 06:00,15,78.97,58.12,138.22,857.95,1022.49,8.65,19,1,0
12/02/2019 07:00,16,77.77,57.94,179.2,1044.86,1022.45,8.16,11.47,1,0
12/02/2019 08:00,16.3,75.02,65.96,533.47,985.73,1022.57,7.83,6.47,1,0
12/02/2019 09:00,16.1,74.32,51.74,257.27,832.23,1023.15,8.06,9.98,1,0
12/02/2019 10:00,15.9,74.63,55.05,174.78,733.65,1023.3,8.26,12.97,1,0
12/02/2019 11:00,15.8,74.84,45.68,137.13,639.63,1023.75,8.43,15.58,1,0
12/02/2019 12:00,15.7,74.58,56.51,105.98,555.81,1023.87,8.72,20.14,1,0
12/02/2019 13:00,15.6,74.51,54.01,96.57,505.15,1023.75,8.89,22.75,1,0
12/02/2019 14:00,15.6,74.41,54.49,96.44,490.75,1023.62,8.9,22.83,1,0
12/02/2019 15:00,15.5,74.23,47.64,90.43,490.58,1023.57,9.03,24.86,1,0
12/02/2019 16:00,15.4,74.09,57.75,82.5,473.42,1023.64,9.12,26.29,1,0
12/02/2019 17:00,15.4,74.05,63.92,74.32,460.55,1023.68,9.34,29.67,1,0
12/02/2019 18:00,15.5,75.7,65.38,91.03,529.82,1023.72,9.28,28.65,1,0
12/02/2019 19:00,15.4,82.2,67.42,70.37,515.71,1023.51,9.69,35.32,1,0
12/02/2019 20:00,15.2,81.78,58.9,136.92,554.52,1023.17,9.42,31.13,1,0
12/02/2019 21:00,15,80.06,64.84,157.02,537.07,1023.11,9.38,30.22,1,0
12/02/2019 22:00,16.9,73.43,65.87,85.9,526.56,1023.07,9.21,27.99,1,0
12/02/2019 23:00,17.7,71.3,68.3,17.95,522.73,1022.8,9.15,26.9,1,0
13/02/2019 00:00,16.5,75.16,65.31,11.23,503.17,1022.52,9.27,28.6,1,0
13/02/2019 01:00,16,76.37,54.27,11.78,545.32,1021.99,9.53,32.46,1,0
13/02/2019 02:00,15.6,75.69,51.93,1.76,498.53,1021.64,10.17,42.32,1,0
13/02/2019 03:00,15.5,75.84,45.3,11.72,553.54,1021.03,10.01,39.78,1,0
13/02/2019 04:00,15.4,76.26,42.7,26.78,601.38,1020.76,9.75,35.85,1,0
13/02/2019 05:00,15.4,75.98,45.3,27.07,626.41,1020.34,9.93,38.66,1,0
13/02/2019 06:00,15.4,75.41,64.31,26.28,658.32,1020.19,10.05,40.43,1,0
